"scenarioOrder","scenarioId","changedParameter","isPrimary","adjustmentMethod","estimand","washoutDays","riskWindowStartDays","riskWindowEndDays","trimFraction","preAdjustmentCount","postTrimCount","adjustedSubjectCount","adjustedTargetCount","adjustedComparatorCount","effectiveSampleSize","residualImbalanceCount","maximumAbsoluteSmd","balanceThreshold","effectMeasure","estimate","ciLower","ciUpper","confidenceLevel","logOddsRatio","standardError","subjectCount","eventCount","targetSubjectCount","targetEventCount","comparatorSubjectCount","comparatorEventCount","varianceEstimator","modelConverged","zeroCellDetected","interpretation"
1,"primary","none",TRUE,"matching","ATT",180,1,30,0.05,2630,2630,1660,830,830,1660,6,0.130540716947034,0.1,"odds ratio",0.931219271765986,0.60293993815296,1.43823501684903,0.95,-0.07126050659413,0.221778149549455,1660,89,830,43,830,46,"matched-set cluster-robust CR1",TRUE,FALSE,"Adjusted observational association under the stated design assumptions."
2,"risk_1_14","risk_window",FALSE,"matching","ATT",180,1,14,0.05,2630,2630,1660,830,830,1660,6,0.130540716947034,0.1,"odds ratio",0.642318465848317,0.296947099824514,1.38938218899445,0.95,-0.44267104556242,0.39364510349991,1660,28,830,11,830,17,"matched-set cluster-robust CR1",TRUE,FALSE,"Adjusted observational association under the stated design assumptions."
3,"risk_1_60","risk_window",FALSE,"matching","ATT",180,1,60,0.05,2630,2630,1660,830,830,1660,6,0.130540716947034,0.1,"odds ratio",0.947852054549331,0.682779267094703,1.31583303801282,0.95,-0.0535568495078099,0.167363689403814,1660,166,830,81,830,85,"matched-set cluster-robust CR1",TRUE,FALSE,"Adjusted observational association under the stated design assumptions."
4,"weighting_att","adjustment_method",FALSE,"weighting","ATT",180,1,30,0.05,2630,2630,2630,1800,830,2481.5224082809,3,0.111486097929086,0.1,"odds ratio",1.1310856182591,0.774038165021152,1.65283151871149,0.95,0.123177895647292,0.193530083427272,2630,159,1800,113,830,46,"individual-level robust CR1",TRUE,FALSE,"Adjusted observational association under the stated design assumptions."
5,"washout_365","washout_days",FALSE,"matching","ATT",365,1,30,0.05,2630,2630,1660,830,830,1660,6,0.130540716947034,0.1,"odds ratio",0.931219271765986,0.60293993815296,1.43823501684903,0.95,-0.07126050659413,0.221778149549455,1660,89,830,43,830,46,"matched-set cluster-robust CR1",TRUE,FALSE,"Adjusted observational association under the stated design assumptions."
