"riskWindowStartDays","riskWindowEndDays","subgroupType","subgroupLevel","estimabilityStatus","estimabilityReason","effectMeasure","estimate","ciLower","ciUpper","confidenceLevel","logOddsRatio","standardError","subjectCount","eventCount","targetSubjectCount","targetEventCount","comparatorSubjectCount","comparatorEventCount","representedClusterCount","completePairCount","singletonClusterCount","overlapLower","overlapUpper","overlapWidth","overlapAvailable","varianceEstimator","modelConverged","zeroCellDetected","interpretation","balanceStatus","balanceReason","balanceSubjectCount","balanceTargetCount","balanceComparatorCount","covariateCount","evaluableCovariateCount","unbalancedCovariateCount","maximumAbsoluteSmd","balanceThreshold"
1,30,"sex","FEMALE","ESTIMABLE","Model estimation completed successfully.","odds ratio",1.09603960349806,0.619332764823138,1.93967262942924,0.95,0.0917033224515043,0.291237947824486,866,52,431,27,435,25,635,231,404,0.575706468956992,0.837426931706728,0.261720462749735,TRUE,"matched-set cluster-robust CR1",TRUE,FALSE,"Descriptive adjusted observational association under the stated design assumptions.","EVALUABLE","Post-match subgroup balance calculated successfully.",866,431,435,314,314,15,0.166088018380104,0.1
1,30,"sex","MALE","ESTIMABLE","Model estimation completed successfully.","odds ratio",0.744000994653743,0.378518448013701,1.46237913356794,0.95,-0.295712907249747,0.344790805124309,794,37,399,16,395,21,599,195,404,0.580388611736641,0.831997219789173,0.251608608052532,TRUE,"matched-set cluster-robust CR1",TRUE,FALSE,"Descriptive adjusted observational association under the stated design assumptions.","EVALUABLE","Post-match subgroup balance calculated successfully.",794,399,395,314,314,32,0.207405222956247,0.1
1,30,"age","<65","ESTIMABLE","Model estimation completed successfully.","odds ratio",0.931219271765986,0.60293993815296,1.43823501684903,0.95,-0.07126050659413,0.221778149549455,1660,89,830,43,830,46,830,830,0,0.575706468956992,0.837426931706728,0.261720462749735,TRUE,"matched-set cluster-robust CR1",TRUE,FALSE,"Descriptive adjusted observational association under the stated design assumptions.","EVALUABLE","Post-match subgroup balance calculated successfully.",1660,830,830,314,314,6,0.130540716947034,0.1
1,30,"age",">=65","NOT_ESTIMABLE","No subjects are available in this prespecified subgroup.","odds ratio",,,,0.95,,,0,0,0,0,0,0,0,0,0,,,,FALSE,"matched-set cluster-robust CR1",FALSE,FALSE,"Descriptive adjusted observational association under the stated design assumptions.","NOT_EVALUABLE","No subjects are available for subgroup balance assessment.",0,0,0,0,0,0,,0.1
